questionId,currentTopic,proposedTopic,confidence,status,questionNo,assetUrl,sourceStatus,answerVerified,reason
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-01,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,1,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-01.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-02,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,2,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-02.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-03,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,3,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-03.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-04,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,4,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-04.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-05,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,5,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-05.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-06,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,6,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-06.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-07,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,7,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-07.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-08,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,8,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-08.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-09,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,9,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-09.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-10,Denklemler ve Eşitsizlikler,Temel Kavramlar / Sayı Kümeleri,HIGH,REMAP,10,/assets/meb-dort-dortluk-tyt-math-v11/meb-dort-dortluk-tyt-mat-sayi-kumeleri-cozumlu-10.jpg,pending-official-answer-verification,False,Kaynak chapter 'Sayı Kümeleri' olduğundan canonical konu 'Temel Kavramlar / Sayı Kümeleri' olmalı.
